epoch,step,train_acc,train_loss,valid_acc,valid_loss
0,49,,1.6881155967712402,,
0,99,,0.9624811410903931,,
0,149,,0.5474356412887573,,
0,199,,0.3931926190853119,,
0,249,,0.33834952116012573,,
0,299,,0.32180821895599365,,
0,349,,0.5051778554916382,,
0,399,,0.29550254344940186,,
0,449,,0.3386395573616028,,
0,499,,0.3847167491912842,,
0,549,,0.42173832654953003,,
0,599,,0.26115649938583374,,
0,649,,0.2499377727508545,,
0,699,,0.2113254964351654,,
0,749,,0.22049246728420258,,
0,799,,0.2087387591600418,,
0,849,,0.34381720423698425,,
0,859,,,0.9118000268936157,0.2985934913158417
0,859,0.8479999899864197,,,
1,899,,0.33711713552474976,,
1,949,,0.22542524337768555,,
1,999,,0.1765713095664978,,
1,1049,,0.3571885824203491,,
1,1099,,0.08779869973659515,,
1,1149,,0.2960578203201294,,
1,1199,,0.17719779908657074,,
1,1249,,0.15375471115112305,,
1,1299,,0.1002437174320221,,
1,1349,,0.17167942225933075,,
1,1399,,0.11077313125133514,,
1,1449,,0.5173447728157043,,
1,1499,,0.10930720716714859,,
1,1549,,0.344542920589447,,
1,1599,,0.18540890514850616,,
1,1649,,0.18538162112236023,,
1,1699,,0.21472710371017456,,
1,1719,,,0.9269999861717224,0.24071530997753143
1,1719,0.9254181981086731,,,
2,1749,,0.30989986658096313,,
2,1799,,0.22373059391975403,,
2,1849,,0.1927824765443802,,
2,1899,,0.24487705528736115,,
2,1949,,0.17691662907600403,,
2,1999,,0.32052308320999146,,
2,2049,,0.24047566950321198,,
2,2099,,0.32946667075157166,,
2,2149,,0.2695175111293793,,
2,2199,,0.13635578751564026,,
2,2249,,0.15378421545028687,,
2,2299,,0.16922952234745026,,
2,2349,,0.21590380370616913,,
2,2399,,0.12377899885177612,,
2,2449,,0.21132943034172058,,
2,2499,,0.11556960642337799,,
2,2549,,0.1939040571451187,,
2,2579,,,0.9355999827384949,0.2137223184108734
2,2579,0.940854549407959,,,
3,2599,,0.11702530831098557,,
3,2649,,0.10339509695768356,,
3,2699,,0.13898885250091553,,
3,2749,,0.13591843843460083,,
3,2799,,0.2489149272441864,,
3,2849,,0.17807021737098694,,
3,2899,,0.1348429024219513,,
3,2949,,0.17471322417259216,,
3,2999,,0.08380471915006638,,
3,3049,,0.0804305374622345,,
3,3099,,0.14687541127204895,,
3,3149,,0.04397279769182205,,
3,3199,,0.25852543115615845,,
3,3249,,0.09412110596895218,,
3,3299,,0.1720605045557022,,
3,3349,,0.11753904819488525,,
3,3399,,0.18260811269283295,,
3,3439,,,0.9391999840736389,0.19668559730052948
3,3439,0.9495090842247009,,,
4,3449,,0.17922617495059967,,
4,3499,,0.1097530648112297,,
4,3549,,0.1147025004029274,,
4,3599,,0.17855042219161987,,
4,3649,,0.15243983268737793,,
4,3699,,0.23004546761512756,,
4,3749,,0.16570603847503662,,
4,3799,,0.10275071114301682,,
4,3849,,0.1210017055273056,,
4,3899,,0.13620886206626892,,
4,3949,,0.29947981238365173,,
4,3999,,0.2797483205795288,,
4,4049,,0.13225916028022766,,
4,4099,,0.05490550026297569,,
4,4149,,0.04981324076652527,,
4,4199,,0.14326287806034088,,
4,4249,,0.15267524123191833,,
4,4299,,0.3515470325946808,,
4,4299,,,0.9435999989509583,0.18543221056461334
4,4299,0.9552363753318787,,,
5,4349,,0.20660123229026794,,
5,4399,,0.2607545852661133,,
5,4449,,0.10196149349212646,,
5,4499,,0.1052427887916565,,
5,4549,,0.1621752679347992,,
5,4599,,0.06670323014259338,,
5,4649,,0.16628597676753998,,
5,4699,,0.2051413208246231,,
5,4749,,0.08676774054765701,,
5,4799,,0.12272360920906067,,
5,4849,,0.22675791382789612,,
5,4899,,0.11269144713878632,,
5,4949,,0.06926877796649933,,
5,4999,,0.08158653974533081,,
5,5049,,0.0756872221827507,,
5,5099,,0.09119610488414764,,
5,5149,,0.15540540218353271,,
5,5159,,,0.944599986076355,0.17886801064014435
5,5159,0.959636390209198,,,
6,5199,,0.1587395817041397,,
6,5249,,0.11209593713283539,,
6,5299,,0.079471156001091,,
6,5349,,0.1482890099287033,,
6,5399,,0.07059131562709808,,
6,5449,,0.14399154484272003,,
6,5499,,0.09258335828781128,,
6,5549,,0.1061365008354187,,
6,5599,,0.05197126790881157,,
6,5649,,0.0924706906080246,,
6,5699,,0.09744840115308762,,
6,5749,,0.4046137034893036,,
6,5799,,0.04257231950759888,,
6,5849,,0.17286917567253113,,
6,5899,,0.06205017864704132,,
6,5949,,0.03382650017738342,,
6,5999,,0.09645712375640869,,
6,6019,,,0.9452000260353088,0.17300142347812653
6,6019,0.9633272886276245,,,
7,6049,,0.16024142503738403,,
7,6099,,0.13597461581230164,,
7,6149,,0.14849629998207092,,
7,6199,,0.16593998670578003,,
7,6249,,0.0792364627122879,,
7,6299,,0.2170732468366623,,
7,6349,,0.16384027898311615,,
7,6399,,0.1268477439880371,,
7,6449,,0.17593339085578918,,
7,6499,,0.08105231821537018,,
7,6549,,0.07171078026294708,,
7,6599,,0.11181936413049698,,
7,6649,,0.12277384102344513,,
7,6699,,0.061261117458343506,,
7,6749,,0.0856499969959259,,
7,6799,,0.046114999800920486,,
7,6849,,0.12176685780286789,,
7,6879,,,0.946399986743927,0.17056450247764587
7,6879,0.9667272567749023,,,
8,6899,,0.07749372720718384,,
8,6949,,0.0358462929725647,,
8,6999,,0.06048504263162613,,
8,7049,,0.07272204011678696,,
8,7099,,0.1772025227546692,,
8,7149,,0.09581204503774643,,
8,7199,,0.06973172724246979,,
8,7249,,0.045675285160541534,,
8,7299,,0.037034112960100174,,
8,7349,,0.059459585696458817,,
8,7399,,0.05164237320423126,,
8,7449,,0.023296810686588287,,
8,7499,,0.13095784187316895,,
8,7549,,0.04681043699383736,,
8,7599,,0.09534691274166107,,
8,7649,,0.035886526107788086,,
8,7699,,0.07742519676685333,,
8,7739,,,0.948199987411499,0.1677159070968628
8,7739,0.9690909385681152,,,
9,7749,,0.09088937193155289,,
9,7799,,0.05698675662279129,,
9,7849,,0.08613448590040207,,
9,7899,,0.14376482367515564,,
9,7949,,0.07078903168439865,,
9,7999,,0.2080954611301422,,
9,8049,,0.07679035514593124,,
9,8099,,0.05079825967550278,,
9,8149,,0.10663529485464096,,
9,8199,,0.11215400695800781,,
9,8249,,0.2322843074798584,,
9,8299,,0.2692309617996216,,
9,8349,,0.08248434960842133,,
9,8399,,0.027096819132566452,,
9,8449,,0.02850673720240593,,
9,8499,,0.13678598403930664,,
9,8549,,0.08523783832788467,,
9,8599,,0.24820779263973236,,
9,8599,,,0.949999988079071,0.16564016044139862
9,8599,0.970836341381073,,,
